Month,Network,Cov_site,District,Issue,Number_ofCell,Downtime_hour,count_Celldown,AV_down,Type
20220131,4G,VTE0711_NONXAY,Pak-Ngum,AC Power,4,12.86666667,8,1.608333333,Down
20220131,4G,VTE0711_NONXAY,Pak-Ngum,OPTIC,4,88.2,4,22.05,Down
20220131,4G,VTE0713_PAKNGEUM_OFFICIAL,Pak-Ngum,AC Power,1,3.15,2,1.575,Down
20220131,4G,VTE0714_PAKUANG,Pak-Ngum,AC Power,2,2.233333333,2,1.116666667,Down
20220131,4G,VTE0720_THAXANG,Pak-Ngum,AC Power,6,12.1,6,2.016666667,Down
20220131,4G,VTE0721_THINTHIENG,Pak-Ngum,AC Power,6,43.1,30,1.436666667,Down
20220131,4G,VTE0730_VIENTIANE_LIFE_CENTER,Sisattanak,AC Power,6,7.1,12,0.591666667,Down
20220131,4G,VTE0731_MOBILECAR3_SPECAIL,Chanthabouri,BTS,22,44,22,2,Down
20220131,4G,VTE0734_SAPHANGKANONG_RW,Xaithani,AC Power,2,8.9,6,1.483333333,Down
20220131,4G,VTE0749_SANGJIENG_MALL,Sikhottabong,AC Power,12,73.2,12,6.1,Down
20220131,4G,VTE0751_LOGISTIC_PARK,Hatxayfong,AC Power,6,34.3,24,1.429166667,Down
20220228,2G,VTE0002_SAYLOM,Chanthabouri,EQUIPMENT,3,78.1,3,26.03333333,Down
20220228,2G,VTE0009_DONDENG,Chanthabouri,BTS,3,2.85,9,0.316666667,Down
20220228,2G,VTE0009_DONDENG,Chanthabouri,EQUIPMENT,3,1.6,3,0.533333333,Down
20220228,2G,VTE0030_NONGPING,Chanthabouri,AC Power,3,8.75,6,1.458333333,Down
20220228,2G,VTE0048_SHOPPINGMALL,Sisattanak,AC Power,1,5.05,1,5.05,Down
20220228,2G,VTE0058_THONGKHUNKHAM,Chanthabouri,AC Power,1,3,2,1.5,Down
20220228,2G,VTE0097_NONGBUATHONG,Chanthabouri,AC Power,3,2.4,3,0.8,Down
20220228,2G,VTE0121_PHONSOMBOUN,Sikhottabong,OPTIC,3,13.6,3,4.533333333,Down
20220228,2G,VTE0129_SIKHAI_MK,Sikhottabong,AC Power,2,5.533333333,2,2.766666667,Down
20220228,2G,VTE0155_AMONE,Xaisettha,AC Power,3,6.7,3,2.233333333,Down
20220228,2G,VTE0165_NAHAI_XAYSEETHA,Xaisettha,AC Power,3,1.05,3,0.35,Down
20220228,2G,VTE0181_ITECC_OUTDOOR,Xaisettha,AC Power,2,1.666666667,6,0.277777778,Down
20220228,2G,VTE0185_KHAMSAWATH,Xaisettha,AC Power,3,0.8,3,0.266666667,Down
20220228,2G,VTE0206_NONKOR,Xaisettha,AC Power,3,1.5,6,0.25,Down
20220228,2G,VTE0207_NONKOR2,Xaisettha,AC Power,3,2.45,3,0.816666667,Down
20220228,2G,VTE0225_SENGSAWANG,Xaisettha,AC Power,3,1.95,3,0.65,Down
20220228,2G,VTE0242_XOKKHAM,Xaisettha,BTS,3,3.75,3,1.25,Down
20220228,2G,VTE0250_CHOMCHENG,Sisattanak,AC Power,2,2.266666667,2,1.133333333,Down
20220228,2G,VTE0260_DONGSAVAT,Sisattanak,AC Power,3,15.8,6,2.633333333,Down
20220228,2G,VTE0266_DONKOY4,Sisattanak,AC Power,3,2.1,3,0.7,Down
20220228,2G,VTE0269_FRANCE_SCHOOL,Sisattanak,BTS,3,999.85,3,333.2833333,Down
20220228,2G,VTE0299_SINGAPORE_EMB,Sisattanak,AC Power,3,3.45,3,1.15,Down
20220228,2G,VTE0331_DONGXIENGDY,Naxaythong,AC Power,2,1.166666667,2,0.583333333,Down
20220228,2G,VTE0333_HINKHANNA,Naxaythong,AC Power,3,2,6,0.333333333,Down
20220228,2G,VTE0340_NANGA,Naxaythong,AC Power,3,3.5,3,1.166666667,Down
20220228,2G,VTE0396_COSMO,Xaithani,AC Power,3,9.4,12,0.783333333,Down
20220228,2G,VTE0399_DONGBANG,Xaithani,AC Power,3,11.1,9,1.233333333,Down
20220228,2G,VTE0400_DONGBANG2,Xaithani,AC Power,3,11.1,9,1.233333333,Down
20220228,2G,VTE0423_HUAXIENG,Xaithani,AC Power,3,5,6,0.833333333,Down
20220228,2G,VTE0456_NABONG_SC,Xaithani,AC Power,3,15.65,9,1.738888889,Down
20220228,2G,VTE0456_NABONG_SC,Xaithani,BTS,3,0.65,3,0.216666667,Down
20220228,2G,VTE0456_NABONG_SC,Xaithani,EQUIPMENT,3,1.4,3,0.466666667,Down
20220228,2G,VTE0483_NONGVIENGKHAM2,Xaithani,AC Power,3,22.5,24,0.9375,Down
20220228,2G,VTE0485_NONSENGCHAN,Xaithani,AC Power,3,4.35,3,1.45,Down
20220228,2G,VTE0487_JUMBO,Xaithani,AC Power,3,11.55,6,1.925,Down
20220228,2G,VTE0510_PHONPHENG,Xaithani,AC Power,3,8.35,3,2.783333333,Down
20220228,2G,VTE0541_THADORKKHAM,Xaithani,AC Power,3,19.05,6,3.175,Down
20220228,2G,VTE0582_HADXAYKHAO,Hatxayfong,AC Power,2,6.666666667,4,1.666666667,Down
20220228,2G,VTE0609_NONGPHONG,Hatxayfong,AC Power,3,1.1,3,0.366666667,Down
20220228,2G,VTE0612_PAKPENG,Hatxayfong,AC Power,3,18.7,3,6.233333333,Down
20220228,2G,VTE0612_PAKPENG,Hatxayfong,EQUIPMENT,3,10.35,6,1.725,Down
20220228,2G,VTE0622_SITHAN_TAI,Hatxayfong,EQUIPMENT,3,73.75,3,24.58333333,Down
20220228,2G,VTE0624_SOMSANOOK,Hatxayfong,AC Power,3,5.7,3,1.9,Down
20220228,2G,VTE0640_XIENGKHUAN,Hatxayfong,AC Power,3,3.3,6,0.55,Down
20220228,2G,VTE0643_BANKOUA,Sangthong,AC Power,2,1.333333333,2,0.666666667,Down
20220228,2G,VTE0644_BANKUAYXOR,Sangthong,AC Power,2,1.566666667,2,0.783333333,Down
20220228,2G,VTE0646_HOUYHANG,Sangthong,AC Power,2,2.433333333,2,1.216666667,Down
20220228,2G,VTE0649_HOUYLAR,Sangthong,AC Power,2,2.433333333,2,1.216666667,Down
20220228,2G,VTE0650_KHOKHEA,Sangthong,AC Power,3,3.65,3,1.216666667,Down
20220228,2G,VTE0653_NAENANG,Sangthong,AC Power,2,1.333333333,2,0.666666667,Down
20220228,2G,VTE0655_NALARD,Sangthong,AC Power,3,2,3,0.666666667,Down
20220228,2G,VTE0656_NAPOR,Sangthong,AC Power,2,0.633333333,2,0.316666667,Down
20220228,2G,VTE0664_SANORD,Sangthong,AC Power,2,2.433333333,2,1.216666667,Down
20220228,2G,VTE0666_THANASA,Sangthong,AC Power,3,3.65,3,1.216666667,Down
20220228,2G,VTE0668_VANGMAR,sangthong,AC Power,3,2.9,3,0.966666667,Down
20220228,2G,VTE0671_XOR,Sangthong,AC Power,2,1.766666667,2,0.883333333,Down
20220228,2G,VTE0684_DONHAI,Pak-Ngum,AC Power,3,13.75,6,2.291666667,Down
20220228,2G,VTE0685_DONSANGPHAI,Pak-Ngum,AC Power,3,13.4,3,4.466666667,Down
20220228,2G,VTE0706_NONBUATHONG_KM40,Xaithani,AC Power,3,10.2,3,3.4,Down
20220228,2G,VTE0717_SANGSAI,Pak-Ngum,AC Power,3,1.7,3,0.566666667,Down
20220228,2G,VTE0721_THINTHIENG,Pak-Ngum,AC Power,3,11.45,6,1.908333333,Down
